상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220814284536,달콤한간식달당,,I2,음식,I210,기타 간이,I21099,그 외 기타 간이 음식점,I56191,제과점업,41,경기도,41210,광명시,41210580,광명7동,4121010100,광명동,4121010100107240007,1,대지,724.0,7.0,경기도 광명시 광명동 724-7,412103187019,경기도 광명시 도덕로,45,,4121010100107240007007873,일부호,경기도 광명시 도덕로 45,423819.0,14276,,1,,126.852806959221,37.4689575709078
MA0101202406A0555404,퍼부어,광명점,I2,음식,I205,동남아시아,I20501,베트남식 전문,I56129,기타 외국식 음식점업,41,경기도,41210,광명시,41210655,일직동,4121010600,일직동,4121010600105000000,1,대지,500.0,,경기도 광명시 일직동 500,412103182031,경기도 광명시 일직로,17,,4121010600105000000000001,롯데아울렛,경기도 광명시 일직로 17,423090.0,14352,,5,,126.882776452084,37.4243098280972
MA0101202411A0121821,속초오징어어시장,,I2,음식,I201,한식,I20111,횟집,I56122,일식 음식점업,41,경기도,41210,광명시,41210610,철산3동,4121010200,철산동,4121010200104270000,1,대지,427.0,,경기도 광명시 철산동 427,412104361245,경기도 광명시 오리로854번길,16,15.0,4121010200104270000000495,,경기도 광명시 오리로854번길 16-15,423837.0,14240,,1,,126.869279160446,37.4743739902029
MA010120220800954304,양가황소곱창,,I2,음식,I201,한식,I20109,곱창 전골/구이,I56113,한식 육류 요리 전문점,41,경기도,41210,광명시,41210650,소하2동,4121010400,소하동,4121010400108980001,1,대지,898.0,1.0,경기도 광명시 소하동 898-1,412103000025,경기도 광명시 기아로,9,,4121010400108980001011538,,경기도 광명시 기아로 9,423825.0,14326,,,,126.880678112717,37.4366516511942
MA010120220804837053,샐러드박스GIDC점,,I2,음식,I210,기타 간이,I21005,토스트/샌드위치/샐러드,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,41,경기도,41210,광명시,41210655,일직동,4121010600,일직동,4121010600105140000,1,대지,514.0,,경기도 광명시 일직동 514,412103182031,경기도 광명시 일직로,43,,4121010600105140000000001,지아이디씨,경기도 광명시 일직로 43,423090.0,14353,,1,,126.886947562971,37.4227731509461
MA010120220812187087,갠차나유,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,41,경기도,41210,광명시,41210640,소하1동,4121010400,소하동,4121010400100360002,1,대지,36.0,2.0,경기도 광명시 소하동 36-2,412103000024,경기도 광명시 금하로,525,,4121010400100360002012504,AH빌딩,경기도 광명시 금하로 525,423821.0,14314,,1,,126.890340438746,37.4512304107213
MA010120220802712833,민들레영토,,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,41,경기도,41210,광명시,41210560,광명5동,4121010100,광명동,4121010100102900052,1,대지,290.0,52.0,경기도 광명시 광명동 290-52,412103000122,경기도 광명시 광명로,837,,4121010100102900051000001,,경기도 광명시 광명로 837,423812.0,14291,,,,126.850863711876,37.4740998996015
MA010120220813431598,배스킨라빈스,광명역점,I2,음식,I210,기타 간이,I21008,아이스크림/빙수,I56194,김밥 및 기타 간이 음식점업,41,경기도,41210,광명시,41210655,일직동,4121010600,일직동,4121010600105110003,1,대지,511.0,3.0,경기도 광명시 일직동 511-3,412104361306,경기도 광명시 신기로17번길,6,,4121010600105110003000001,,경기도 광명시 신기로17번길 6,423090.0,14344,,1,,126.883968380768,37.420625842484
MA010120220805011240,으리으리참숯왕갈비,,I2,음식,I201,한식,I20107,돼지고기 구이/찜,I56113,한식 육류 요리 전문점,41,경기도,41210,광명시,41210650,소하2동,4121010400,소하동,4121010400112430000,1,대지,1243.0,,경기도 광명시 소하동 1243,412103187056,경기도 광명시 충현로,2,,4121010400112430000011512,대영빌딩,경기도 광명시 충현로 2,423826.0,14327,,,,126.880204557622,37.4360114513135
MA0101202406A0484834,아프로디테한식,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,41,경기도,41210,광명시,41210660,학온동,4121010700,가학동,4121010700105530013,1,대지,553.0,13.0,경기도 광명시 가학동 553-13,412103187030,경기도 광명시 서독로,102,,4121010700105530013013027,,경기도 광명시 서독로 102,423070.0,14339,,1,,126.851091287264,37.4163361983899
MA0101202406A0164251,우아떡,,I2,음식,I210,기타 간이,I21002,떡/한과,C10711,떡류 제조업,41,경기도,41210,광명시,41210655,일직동,4121010600,일직동,4121010600105120000,1,대지,512.0,,경기도 광명시 일직동 512,412103187066,경기도 광명시 양지로,9,,4121010600105120000000008,유플래닛광명역데시앙,경기도 광명시 양지로 9,423090.0,14345,,1,,126.881270434121,37.4193347081695
MA0101202302A0062941,윤스키친,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,41,경기도,41210,광명시,41210610,철산3동,4121010200,철산동,4121010200106370000,1,대지,637.0,,경기도 광명시 철산동 637,412103187004,경기도 광명시 광덕산로,5,,4121010200103730000005000,철산푸르지오하늘채아파트,경기도 광명시 광덕산로 5,423732.0,14241,,1,,126.868992226758,37.4703641791119
MA0101202406A0116701,광명맛푸드,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,41,경기도,41210,광명시,41210520,광명2동,4121010100,광명동,4121010100100510002,1,대지,51.0,2.0,경기도 광명시 광명동 51-2,412104361263,경기도 광명시 오리로984번길,64,,4121010100100510002000988,,경기도 광명시 오리로984번길 64,423803.0,14200,,1,,126.856257745926,37.485107898332
MA010120220811959234,신마포숯불갈비,,I2,음식,I201,한식,I20107,돼지고기 구이/찜,I56113,한식 육류 요리 전문점,41,경기도,41210,광명시,41210633,하안3동,4121010300,하안동,4121010300100370000,1,대지,37.0,,경기도 광명시 하안동 37,412104361294,경기도 광명시 하안로287번길,22,,4121010300100370000012337,,경기도 광명시 하안로287번길 22,423848.0,14305,,2,,126.878852944496,37.4613736020749
MA010120220813878715,이시스커피ISiSCOFFEE,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,41,경기도,41210,광명시,41210660,학온동,4121010500,노온사동,4121010500105720083,1,대지,572.0,83.0,경기도 광명시 노온사동 572-83,412103000122,경기도 광명시 광명로,423,,4121010500105720083015825,,경기도 광명시 광명로 423,423080.0,14336,,2,,126.845103703443,37.4385205378585
